"Customer Name","Product Category","Product Sub-Category",Category_Sales
"Emily Phan",Technology,"Office Machines",103652.49
"Dennis Kane",Technology,"Copiers and Fax",49836.399999999994
"Grant Carroll","Office Supplies","Binders and Binder Accessories",45025.21
"Alejandro Grove","Office Supplies","Binders and Binder Accessories",41199.119999999995
"Roy Skaria",Furniture,Bookcases,38092.34
"Sylvia Foulston",Furniture,"Chairs & Chairmats",33206.11
"Deborah Brumfield",Technology,"Copiers and Fax",28664.52
"Roy Skaria",Technology,"Copiers and Fax",27222.45
"John Lucas",Furniture,Tables,26016.608
"Liz MacKendrick",Technology,"Office Machines",25313.34
"Deborah Brumfield",Technology,"Office Machines",25312
"Darren Budd",Technology,"Copiers and Fax",23949.51
"Sylvia Foulston",Technology,"Office Machines",22079.47
"Darren Budd",Furniture,"Office Furnishings",20155.74
"John Lucas","Office Supplies","Storage & Organization",19846.879999999997
"Alejandro Grove",Furniture,Tables,17638.56
"John Lucas",Furniture,"Chairs & Chairmats",17560.95
"Liz MacKendrick","Office Supplies","Binders and Binder Accessories",16359.730000000001
"Liz MacKendrick",Furniture,"Chairs & Chairmats",14567.15
"Alejandro Grove",Furniture,"Chairs & Chairmats",13552.24
"Darren Budd",Furniture,"Chairs & Chairmats",13305.599999999999
"Grant Carroll",Furniture,Bookcases,13035.289999999999
"Deborah Brumfield",Technology,"Computer Peripherals",12420.86
"Dennis Kane",Furniture,"Chairs & Chairmats",12176.39
"Roy Skaria",Furniture,Tables,11036.16
"Deborah Brumfield",Technology,"Telephones and Communication",10398.415500000001
"Sylvia Foulston",Furniture,Tables,10166.52
"Grant Carroll",Furniture,"Chairs & Chairmats",10087.6
"John Lucas",Technology,"Telephones and Communication",9224.9395
"Alejandro Grove","Office Supplies",Appliances,9081.98
"Sylvia Foulston",Technology,"Telephones and Communication",7499.5075
"Liz MacKendrick",Technology,"Telephones and Communication",7386.1515
"Darren Budd",Technology,"Office Machines",7235.83
"Roy Skaria","Office Supplies","Storage & Organization",7156.56
"Deborah Brumfield","Office Supplies","Storage & Organization",6936.89
"Emily Phan",Technology,"Telephones and Communication",6829.478
"Darren Budd",Furniture,Bookcases,6650.21
"Deborah Brumfield",Furniture,"Chairs & Chairmats",6506.52
"Sylvia Foulston","Office Supplies","Binders and Binder Accessories",5301.01
"Dennis Kane",Technology,"Telephones and Communication",5217.5805
"Grant Carroll",Technology,"Computer Peripherals",5161.339999999999
"Sylvia Foulston","Office Supplies",Appliances,4937.98
"Liz MacKendrick",Furniture,"Office Furnishings",4893.34
"Sylvia Foulston",Furniture,Bookcases,4462.23
"Darren Budd",Technology,"Telephones and Communication",4028.7535
"Emily Phan",Furniture,Bookcases,4011.65
"John Lucas","Office Supplies",Appliances,3725.53
"Grant Carroll","Office Supplies",Appliances,3548.67
"Dennis Kane",Technology,"Computer Peripherals",3393.3100000000004
"Liz MacKendrick","Office Supplies",Appliances,3142.5299999999997
"Roy Skaria","Office Supplies","Binders and Binder Accessories",3029.4700000000003
"Liz MacKendrick","Office Supplies",Labels,2455.54
"Darren Budd",Furniture,Tables,2384.9100000000003
"Roy Skaria",Technology,"Computer Peripherals",2354.8
"Darren Budd",Technology,"Computer Peripherals",2352.86
"Grant Carroll",Technology,"Telephones and Communication",2275.6625
"John Lucas","Office Supplies",Paper,2233.54
"Dennis Kane",Technology,"Office Machines",1806.65
"Dennis Kane","Office Supplies","Binders and Binder Accessories",1453.34
"Emily Phan","Office Supplies","Binders and Binder Accessories",1444.6599999999999
"Roy Skaria",Furniture,"Office Furnishings",1048.74
"Liz MacKendrick",Furniture,Bookcases,1042.63
"Grant Carroll","Office Supplies",Paper,1002
"Alejandro Grove","Office Supplies",Envelopes,806.08
"Roy Skaria","Office Supplies",Appliances,724.13
"Roy Skaria","Office Supplies",Paper,698.5999999999999
"Sylvia Foulston","Office Supplies",Envelopes,683.46
"John Lucas",Technology,"Computer Peripherals",561.92
"Grant Carroll","Office Supplies","Pens & Art Supplies",537.8299999999999
"Roy Skaria",Technology,"Telephones and Communication",518.9929999999999
"John Lucas",Furniture,"Office Furnishings",512.78
"Emily Phan","Office Supplies","Storage & Organization",487.7
"Grant Carroll","Office Supplies","Storage & Organization",460.68
"Roy Skaria","Office Supplies","Pens & Art Supplies",406.76
"Emily Phan","Office Supplies",Appliances,362.17
"Dennis Kane","Office Supplies","Pens & Art Supplies",347.47
"Sylvia Foulston",Furniture,"Office Furnishings",338.52
"Emily Phan","Office Supplies","Pens & Art Supplies",336.29
"Deborah Brumfield",Furniture,"Office Furnishings",323.26
"Alejandro Grove",Furniture,"Office Furnishings",311.19
"Grant Carroll",Furniture,"Office Furnishings",307.76
"Liz MacKendrick",Technology,"Computer Peripherals",291.4
"Deborah Brumfield","Office Supplies","Scissors, Rulers and Trimmers",257.34
"Deborah Brumfield","Office Supplies","Pens & Art Supplies",238.77
"Liz MacKendrick","Office Supplies",Paper,191.6
"Grant Carroll","Office Supplies",Labels,186.94
"Deborah Brumfield","Office Supplies",Labels,175.76
"Alejandro Grove","Office Supplies","Pens & Art Supplies",163.98
"Liz MacKendrick","Office Supplies","Storage & Organization",152.14
"Deborah Brumfield","Office Supplies",Appliances,128.97
"Sylvia Foulston",Technology,"Computer Peripherals",90.06
"Deborah Brumfield","Office Supplies","Binders and Binder Accessories",89.99
"Sylvia Foulston","Office Supplies","Rubber Bands",78.49
"Alejandro Grove","Office Supplies","Storage & Organization",70.02
"Alejandro Grove","Office Supplies",Labels,68.54
"Dennis Kane","Office Supplies",Labels,67.4
"Liz MacKendrick","Office Supplies",Envelopes,44.56
"Sylvia Foulston","Office Supplies",Labels,32.4
"John Lucas","Office Supplies","Pens & Art Supplies",13.04
